Year,Scientific Name,English Name,Element Code,Global Status,Global Status Review Date,Prov Status,Prov Status Review Date,Prov Status Change Date,BC List,Identified Wildlife,Land Use Objectives,Biogeoclimatic Units,Ecosection,Forest District,MOE Region,Regional Dist,Municipality,Ecosystem Group,Endemic,CF Action Groups,CF Highest Priority,CF Priority Goal 1,CF Priority Goal 2,CF Priority Goal 3,CDC Maps,Mapping Status
2011,Abies amabilis - Picea sitchensis / Oplopanax horridus,amabilis fir - Sitka spruce / devil's club,C1A9CAAOH1,GNR,NA,S3,31/10/2004,31/03/2001,Blue,NA,NA,CWHvm1/08;CWHvm2/08,CPR;EPR;FRL;GEL;HEL;KIR;LIM;NAM;NCF;NIM;NPR;NWC;NWL;OUF;QCT;SOG;SPR;WIM,DCK;DCR;DKM;DNC;DNI;DSC;DSI;DSQ,1;2;5;6,MVRD;CRD;CVRD;RDN;ACRD;CXRD;STRD;PWRD;SCRD;SLRD;MWRD;CCRD;SQCRD;KSRD;FVRD,Sayward;Anmore;Port Moody;Port Hardy;Alert Bay;Port McNeill;Port Alice;Kent;Zeballos;Tahsis;Mission;Bowen Island;Pitt Meadows;Chilliwack;Squamish;North Vancouver (District);Coquitlam;West Vancouver;Maple Ridge;Belcarra;Gold River,"Riparian, Forest",NA,Classification; Inventory; Review Use,2,3,2,3,Y,NA
2011,Abies amabilis - Thuja plicata / Gymnocarpium dryopteris,amabilis fir - western redcedar / oak fern,C1A9CAAGD1,GNR,NA,S3,31/10/2004,29/09/1994,Blue,NA,NA,CWHms1/04;CWHms2/04;CWHws1/04;CWHws2/04,BUR;CPR;CRU;EPR;HOR;KIM;KIR;LPR;MEM;NAB;NAM;NCF;NEU;NPR;NWC;SBR;SPR;WCR,DCK;DCS;DKM;DNC;DND;DNI;DSC;DSQ;DSS,1;2;3;5;6;8,CXRD;STRD;PWRD;SLRD;TNRD;MWRD;CCRD;KSRD;BNRD;FVRD,Hope;Pemberton;Terrace;Whistler;Chilliwack;Kitimat,Forest,NA,Eco Protect; Inventory; Plan; Review Use,2,3,2,3,N,NA
2011,Abies amabilis - Thuja plicata / Oplopanax horridus Moist Submaritime,amabilis fir - western redcedar / devil's club Moist Submaritime,C1A9CATOH1,G3G4,NA,S3,31/10/2004,29/09/1994,Blue,NA,NA,CWHms1/06;CWHms2/06;CWHws1/06,CPR;EPR;HOR;KIM;KIR;LPR;MEM;NAM;NCF;NPR;NWC;SBR;SPR,DCK;DCS;DKM;DNC;DNI;DSC;DSQ,2;3;5;6;8,CXRD;STRD;PWRD;SLRD;TNRD;CCRD;KSRD;FVRD,Hope;Pemberton;Terrace;Whistler;Chilliwack;Kitimat,Forest,NA,Eco Protect; Inventory; Plan; Review Use,2,3,2,3,N,NA
2011,Abies amabilis - Thuja plicata / Oplopanax horridus Wet Submaritime,amabilis fir - western redcedar / devil's club Wet Submaritime,C2A2BATOH1,GNR,NA,S4,07/07/2004,07/07/2004,Yellow,NA,NA,CWHws2/06,BUR;CPR;CRU;KIM;KIR;MEM;NAB;NAM;NEU;NPR;SBR;WCR,DKM;DNC;DND;DNI;DSS,1;5;6,MWRD;CCRD;KSRD;BNRD,NA,Forest,NA,Monitor Trend; Plan; Review Use,2,3,2,4,N,NA
2011,Abies amabilis - Thuja plicata / Rubus spectabilis Moist Maritime 1,amabilis fir - western redcedar / salmonberry Moist Maritime 1,C2A2BAARS1,G3G4,NA,S1S2,31/10/2004,16/06/1992,Red,NA,NA,CWHmm1/07,LIM;OUF;WIM,DCR;DSC;DSI,1,CRD;CVRD;ACRD;CXRD;STRD,Cumberland,"Forest, Riparian",NA,Classification,Not Assessed,Not Assessed,Not Assessed,Not Assessed,N,NA
2011,Abies amabilis - Thuja plicata / Rubus spectabilis Moist Maritime 2,amabilis fir - western redcedar / salmonberry Moist Maritime 2,C2A2BAARS2,G3G4,NA,S2S3,31/10/2004,11/07/2002,Blue,NA,NA,CWHmm2/08,LIM;NAL;NIM,DCR;DSI,1,CRD;CVRD;RDN;ACRD;CXRD;STRD,Cumberland,"Forest, Riparian",NA,Classification; Eco Protect; Inventory; Plan; Review Use,2,3,6,2,N,NA
2011,Abies amabilis - Thuja plicata / Rubus spectabilis Very Wet Maritime,amabilis fir - western redcedar / salmonberry Very Wet Maritime,C1A9CAARS1,GNR,NA,S4,31/03/2001,15/06/2000,Yellow,NA,NA,CWHvm1/07;CWHvm2/07,CPR;EPR;FRL;GEL;HEL;KIR;LIM;NAM;NCF;NIM;NPR;NWC;NWL;OUF;QCT;SOG;SPR;WIM,DCK;DCR;DKM;DNC;DNI;DSC;DSI;DSQ,1;2;5;6,MVRD;CRD;CVRD;RDN;ACRD;CXRD;STRD;PWRD;SCRD;SLRD;MWRD;CCRD;SQCRD;KSRD;FVRD,Sayward;Anmore;Port Moody;Port Hardy;Alert Bay;Port McNeill;Port Alice;Kent;Zeballos;Tahsis;Mission;Bowen Island;Pitt Meadows;Chilliwack;Squamish;North Vancouver (District);Coquitlam;West Vancouver;Maple Ridge;Belcarra;Gold River,"Forest, Riparian",NA,Review Use,2,3,2,3,N,NA
2011,Abies amabilis - Thuja plicata / Tiarella trifoliata Moist Maritime 1,amabilis fir - western redcedar / three-leaved foamflower Moist Maritime 1,C1A9CAATT2,G2,02/09/2005,S2,02/09/2005,15/06/2000,Red,NA,NA,CWHmm1/05,LIM;OUF;WIM,DCR;DSC;DSI,1,CRD;CVRD;ACRD;CXRD;STRD,Cumberland,Forest,Y,Eco Protect; Inventory; Review Use,1,1,6,2,N,NA
2011,Abies amabilis - Thuja plicata / Tiarella trifoliata Very Wet Maritime,amabilis fir - western redcedar / three-leaved foamflower Very Wet Maritime,C1A9CAATT1,G3G4,NA,S3S4,29/12/2008,29/09/1994,Yellow,NA,NA,CWHmm2/05;CWHvm1/05;CWHvm2/05,CPR;EPR;FRL;GEL;HEL;KIR;LIM;NAL;NAM;NCF;NIM;NPR;NWC;NWL;OUF;QCT;SOG;SPR;WIM,DCK;DCR;DKM;DNC;DNI;DSC;DSI;DSQ,1;2;5;6,MVRD;CRD;CVRD;RDN;ACRD;CXRD;STRD;PWRD;SCRD;SLRD;MWRD;CCRD;SQCRD;KSRD;FVRD,Sayward;Anmore;Port Moody;Cumberland;Port Hardy;Alert Bay;Port McNeill;Port Alice;Kent;Zeballos;Tahsis;Mission;Bowen Island;Pitt Meadows;Chilliwack;Squamish;North Vancouver (District);Coquitlam;West Vancouver;Maple Ridge;Belcarra;Gold River,Forest,NA,Eco Protect; Inventory; Plan; Review Use,2,3,2,3,N,NA
2011,Abies amabilis - Tsuga mertensiana / Gymnocarpium dryopteris Moist Maritime 1,amabilis fir - mountain hemlock / oak fern Moist Maritime 1,C2A2BAAGD1,G4G5,NA,S4,07/07/2004,31/03/2001,Yellow,NA,NA,MHmm1/03,CPR;EPR;HEL;KIM;KIR;LIM;MEM;NAM;NIM;NPR;NWC;NWL;OUF;SBR;SPR;WIM,DCK;DCR;DKM;DNC;DNI;DSC;DSI;DSQ,1;2;5;6,MVRD;CRD;CVRD;RDN;ACRD;CXRD;STRD;PWRD;SCRD;SLRD;MWRD;CCRD;SQCRD;KSRD;FVRD,Stewart;Anmore;Mission;Squamish;North Vancouver (District);Coquitlam;West Vancouver;Maple Ridge;Kitimat,Forest,NA,No New Actn,4,4,4,5,N,NA
2011,Abies amabilis - Tsuga mertensiana / Gymnocarpium dryopteris Moist Maritime 2,amabilis fir - mountain hemlock / oak fern Moist Maritime 2,C2A2BAAGD2,GNR,NA,S4,31/03/2001,29/09/1994,Yellow,NA,NA,MHmm2/03,BUR;CCR;CPR;CRU;EPR;HOR;KIM;KIR;LPR;MEM;NAM;NPR;NWC;SBR;SCR;SPR;WCR,DCH;DCK;DCR;DCS;DKM;DNC;DND;DNI;DSC;DSQ;DSS,1;2;3;5;6,CXRD;STRD;PWRD;SCRD;SLRD;TNRD;CBRD;MWRD;CCRD;KSRD;BNRD;OSRD;FVRD,Stewart;Whistler;Chilliwack,Forest,Y,No New Actn,3,3,4,5,N,NA
2011,Abies amabilis - Tsuga mertensiana / Streptopus lanceolatus,amabilis fir - mountain hemlock / rosy twistedstalk,C1A9CAASR1,G4G5,NA,S4,19/09/2005,29/09/1994,Yellow,NA,NA,MHmm1/05;MHmm2/05,BUR;CCR;CPR;CRU;EPR;HEL;HOR;KIM;KIR;LIM;LPR;MEM;NAM;NIM;NPR;NWC;NWL;OUF;SBR;SCR;SPR;WCR;WIM,DCH;DCK;DCR;DCS;DKM;DNC;DND;DNI;DSC;DSI;DSQ;DSS,1;2;3;5;6,MVRD;CRD;CVRD;RDN;ACRD;CXRD;STRD;PWRD;SCRD;SLRD;TNRD;CBRD;MWRD;CCRD;SQCRD;KSRD;BNRD;OSRD;FVRD,Stewart;Anmore;Whistler;Mission;Chilliwack;Squamish;North Vancouver (District);Coquitlam;West Vancouver;Maple Ridge;Kitimat,Forest,NA,No New Actn,4,4,4,5,N,NA
2011,Abies grandis / Mahonia nervosa,grand fir / dull Oregon-grape,C1A9CAGMN1,G1,NA,S1,02/09/2005,15/06/2000,Red,NA,NA,CDFmm/04,FRL;GEL;NAL;SGI;SOG,DCK;DCR;DSC;DSI,1;2,MVRD;CRD;CVRD;RDN;CXRD;STRD;PWRD;SCRD,Delta;Victoria;Highlands;Langford;Richmond;Central Saanich;Lantzville;Oak Bay;Qualicum Beach;Langley (District);Surrey;White Rock;View Royal;Colwood;North Saanich;Sidney;Metchosin;Vancouver;Parksville;Powell River;Sechelt;Esquimalt;North Cowichan;Saanich;Ladysmith;Nanaimo;Duncan,Forest,NA,Eco Protect; Eco Restore; Plan; Private Land; Review Use; Status Rpt,1,1,6,1,Y,NA
2011,Abies grandis / Tiarella trifoliata,grand fir / three-leaved foamflower,C1A9CAGTT1,G1,NA,S1,31/10/2004,15/06/2000,Red,NA,NA,CDFmm/06,FRL;GEL;NAL;SGI;SOG,DCK;DCR;DSC;DSI,1;2,MVRD;CRD;CVRD;RDN;CXRD;STRD;PWRD;SCRD,Delta;Victoria;Highlands;Langford;Richmond;Central Saanich;Lantzville;Oak Bay;Qualicum Beach;Langley (District);Surrey;White Rock;View Royal;Colwood;North Saanich;Sidney;Metchosin;Vancouver;Parksville;Powell River;Sechelt;Esquimalt;North Cowichan;Saanich;Ladysmith;Nanaimo;Duncan,Forest,NA,Eco Protect; Eco Restore; Plan; Private Land; Review Use; Status Rpt,1,1,6,1,Y,NA
2011,Abies lasiocarpa - Abies amabilis / Athyrium filix-femina,subalpine fir - amabilis fir / lady fern,CEBC000201,GNR,NA,S4,31/03/2001,17/03/1993,Yellow,NA,NA,ESSFmw/07,CCR;CPR;EPR;HOR;KIM;LPR;NEU;NPR;SCR;WCR,DCH;DCK;DCS;DNI;DSC;DSQ,2;3;5;8,CXRD;STRD;SLRD;TNRD;CBRD;MWRD;CCRD;OSRD;FVRD,Whistler,Forest,NA,No New Actn,4,4,4,5,N,NA
2011,Abies lasiocarpa - Abies amabilis / Rhododendron albiflorum,subalpine fir - amabilis fir / white-flowered rhododendron,CEBC000196,GNR,NA,S5,31/03/2001,17/03/1993,Yellow,NA,NA,ESSFmw/01,CCR;CPR;EPR;HOR;KIM;LPR;NEU;NPR;SCR;WCR,DCH;DCK;DCS;DNI;DSC;DSQ,2;3;5;8,CXRD;STRD;SLRD;TNRD;CBRD;MWRD;CCRD;OSRD;FVRD,Whistler,Forest,NA,No New Actn,6,6,6,6,N,NA
2011,Abies lasiocarpa - Abies amabilis - Tsuga mertensiana / Menziesia ferruginea,subalpine fir - amabilis fir - mountain hemlock / false azalea,CEBC000199,GNR,NA,S5,31/03/2001,17/03/1993,Yellow,NA,NA,ESSFmw/05,CCR;CPR;EPR;HOR;KIM;LPR;NEU;NPR;SCR;WCR,DCH;DCK;DCS;DNI;DSC;DSQ,2;3;5;8,CXRD;STRD;SLRD;TNRD;CBRD;MWRD;CCRD;OSRD;FVRD,Whistler,Forest,NA,No New Actn,6,6,6,6,N,NA
